"If you need an assistance you can drop us a line on","Si necesita ayuda, puede enviarnos un mensaje en"
"Instant Checkout","Pago instantáneo"
"Internal Server Error 500","Error interno del servidor 500"
"It carefully packaged with a personal touch","Se empaqueta cuidadosamente con un toque personal"
"Italian","Italiano"
"Italy","Italia"
"Item","Artículo"
"Items ordered","Artículos pedidos"
"Kidswear","Ropa de niños"
"Last name *","Apellido *"
"Last name","Apellido"
"Latest","Más reciente"
"Legal notice","Aviso Legal"
"Price: High to low","Mayor Precio"
"Price: Low to high","Menor Precio"
"Load more","Cargar más"
"Log in to your account","Ingrese a su cuenta"
"Log in","Iniciar sesión"
"Login to your account","Ingrese a su cuenta"
"Logout","Cerrar sesión"
"Magazine","Revista"
"Men's fashion","Moda de hombres"
"My Account","Mi Cuenta"
"My account","Mi cuenta"
"My loyalty card","Mi tarjeta de lealtad"
"My newsletter","Mi boletín"
"My orders","Mis ordenes"
"My product reviews","Mis Opiniones del producto"
"My profile","Mi perfil"
"My shipping details","Mis detalles de envío"
"Name must have at least 3 letters.","El nombre debe tener al menos 3 letras."
"New Luma Yoga Collection","Nueva colección Luma Yoga"
"New password *","Nueva contraseña *"
"Newsletter","Boletin de Noticias"
"No products found!","No se encontraron productos!"
"No results were found.","No se encontraron resultados."
"Order Summary","Resumen del pedido"
"Orders","Pedidos"
"Password *","Contraseña *"
"Passwords must be identical","Las contraseñas deben ser idénticas"
"Passwords must be identical.","Las contraseñas deben ser idénticas."
"Payment method","Método de pago"
"Payment","Pago"
"Personal Details","Detalles personales"
"Phone Number","Número de teléfono"
"Phone number may be needed by carrier","El operador puede necesitar el número de teléfono"
"Place the order","Hacer el pedido"
"Please check if all data are correct","Por favor verifique si todos los datos son correctos"
"Please provide valid e-mail address.","Proporcione una dirección de correo electrónico válida."
"Please provide valid phone number","Proporcione un número de teléfono válido"
"Price {variant}","Precio {variant}"
"Price","Precio"
"Privacy policy","Política de privacidad"
"Product details","Detalles del producto"
"Qty","Cantidad"
"Quantity","Cantidad"
"Register an account","Registrar una cuenta"
"Register","Registro"
"Remember me","Recuérdame"
"Remove from compare","Eliminar de comparar"
"Remove","Quitar"
"Repeat new password *","repita la nueva contraseña *"
"Repeat password *","repite la contraseña *"
"Reset password","Restablecer la contraseña"
"Resetting the password ... ","Restableciendo la contraseña ... "
"Return policy","Politica de devolucion"
"Return to shopping","Regresar a comprar"
"Returns","Devoluciones"
"Review order","Orden de revisión"
"Safety","Seguridad"
"Sale","Venta"
"Search","Buscar"
"We found other products you might like","Encontramos otros productos que te pueden gustar"
"Type what you are looking for...","Escribe lo que estás buscando..."
"Searched term should consist of at least 3 characters.","El término buscado debe constar de al menos 3 caracteres."
"See details","Ver detalles"
"See our bestsellers","Vea nuestros bestsellers"
"Select color ","Seleccionar el color "
"Select size {variant}","Selecciona el tamaño {variant}"
"Ship to my default address","Enviar a mi dirección predeterminada"
"Shipping method","Método de envío"
"Shipping","Envío"
"Shopping cart","Carrito de compras"
"Sign up to our newsletter and receive a coupon for 10% off!","¡Suscríbete a nuestro boletín y recibe un cupón con un 10% de descuento!"
"Similar products","Productos similares"
"Size guide","Guia de tallas"
"State / Province","Provincia del estado"
"Store locator","Localizador de tiendas"
"Street name *","Nombre de la calle *"
"Street name","Nombre de la calle"
"Subscribe to the newsletter and receive a coupon for 10% off","Suscríbase al boletín y reciba un cupón con un 10% de descuento"
"Subscribe","Suscribir"
"Tax ID *","Identificación del impuesto *"
"Tax identification number *","Número de identificación de impuestos *"
"Tax identification number must have at least 3 letters.","El número de identificación fiscal debe tener al menos 3 letras."
"Terms and conditions","Términos y Condiciones"
"The new account will be created with the purchase. You will receive details on e-mail.","La nueva cuenta se creará con la compra. Recibirá detalles sobre el correo electrónico."
"Track my order","Seguir mi orden"
"Unfortunately we can't find the page you are looking for.","Desafortunadamente no podemos encontrar la página que está buscando."
"Update my preferences","Actualizar mis preferencias"
"Update my profile","Actualizar mi perfil"
"Update my shipping details","Actualiza mis detalles de envío"
"Use my billing data","Usa mis datos de facturación"
"Use my company's address details","Usar los detalles de la dirección de mi empresa"
"We can't find the page","No podemos encontrar la página"
"We use cookies to give you the best shopping experience.","Utilizamos cookies para ofrecerle la mejor experiencia de compra."
"We will send you details regarding the order","Le enviaremos detalles sobre el pedido"
"We will send you the invoice to given e-mail address","Le enviaremos la factura a la dirección de correo electrónico especificada"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","Hemos enviado instrucciones de restablecimiento de contraseña a su correo electrónico. Revisa tu bandeja de entrada y sigue el enlace."
"Wishlist","Lista de Deseo"
"Women fashion","Moda femenina"
"You are logged in as {firstname}","Has iniciado sesión como {firstname}"
"You are offline. Some features might not be available.","Estás fuera de línea, algunas de las funcionalidades son limitadas"
"You can also use","También puedes usar"
"You have been successfully subscribed to our newsletter!","¡Se suscribió exitosamente a nuestro boletín informativo!"
"You have no items to compare.","No tienes articulos para comparar."
"You must accept the terms and conditions.","Debe aceptar los Términos y Condiciones."
"Your wishlist is empty.","Tu lista de deseos esta vacía."
"Zip-code *","Código postal *"
"Zip-code must have at least 3 letters.","El código postal debe tener al menos 3 letras."
"Zip-code","Código postal"
"a chat","un chat"
"a contact page","una página de contacto"
"browse our catalog","navega por nuestro catálogo"
"color_filter","Color"
"login to your account","ingrese a su cuenta"
"or write to us through","o escríbanos a través de"
"or","o"
"price_filter","Precio"
"register an account","registrar una cuenta"
"return to log in","volver a iniciar sesión"
"search","buscar"
"size_filter","Tamaño"
"to find product you were looking for.","para encontrar el producto que estabas buscando."
"to find something beautiful for You!","para encontrar algo hermoso para ti!"
"{count} items","{count} items"
"My Cart","Mi carrito"
"Your bag is empty","Tu bolsa está vacía"
"Looks like you haven’t added any items to the bag yet. Start shopping to fill it in.","Parece que todavía no has añadido ningún artículo a la bolsa. Empiece a comprar para completarlo."
"Start shopping","Empieza a comprar"
"Total items","Articulos totales"
"Save for later","Guardar para más adelante"
"Total","Total"
"Your email","Tu correo electrónico"
"Password","Contraseña"
"Remember me","Recuérdame"
"Login","Acceso"
"Forgotten password?","Contraseña olvidada?"
"Don't have an account yet?","Todavía no tengo una cuenta?"
"Register now","Regístrate ahora"
"First Name","Primer nombre"
"Last Name","Apellido"
"I want to create an account","Quiero crear una cuenta"
"Create an account","Crea una cuenta"
"login in to your account","inicie sesión en su cuenta"
"Read all {review} review","Leer toda la reseña de {review}"
"Shipping details","Detalles de envío"
"Loyalty Card","Tarjeta de fidelidad"
"Order details","Detalles del pedido"
"Order history","Historial de pedidos"
"My reviews","Mis críticas"
"Log out","Cerrar sesión"
"Read all {count} review","Leer toda la reseña de {count}"
"{count} Reviews","{count} Reseñas"
"Similar Products","Productos Similares"
"Description","Descripción"
"Read reviews","Leer reseñas"
"Leave me review","Déjame revisar"
"Personal data","Personal data"
"Password change","Cambio de contraseña"
"Feel free to edit any of your details below so your account is always up to date","Siéntase libre de editar cualquiera de sus detalles a continuación para que su cuenta esté siempre actualizada"
"Update personal data","Actualizar datos personales"
"At Brand name, we attach great importance to privacy issues and are committed to protecting the personal data of our users. Learn more about how we care and use your personal data in the","En Brand name, damos gran importancia a las cuestiones de privacidad y estamos comprometidos a proteger los datos personales de nuestros usuarios. Obtenga más información sobre cómo cuidamos y usamos sus datos personales en el"
"Current Password","Current Password"
"New Password","Nueva contraseña"
"Repeat Password","Repite la contraseña"
"Update password","Actualiza contraseña"
"Privacy Policy","Política de privacidad"
"If you want to change the password to access your account, enter the following information:","Si desea cambiar la contraseña para acceder a su cuenta, ingrese la siguiente información:"
"Your current email address is","Su dirección de correo electrónico actual es"
"or login to your account","o inicie sesión en su cuenta"
"Change the address","Cambiar la dirección"
"Manage all the shipping addresses you want (work place, home address ...) This way you won\'t have to enter the shipping address manually with each order.","Administre todas las direcciones de envío que desee (lugar de trabajo, domicilio ...) De esta manera no tendrá que ingresar la dirección de envío manualmente con cada pedido."
"Add new address","agregar nueva dirección"
"Keep your addresses and contact details updated.","Mantenga sus direcciones y datos de contacto actualizados."
"Update the address","Actualizar la dirección"
"This feature is not implemented yet! Please take a look at","¡Esta función aún no está implementada! Por favor, eche un vistazo a"
"for our Roadmap!","para nuestra hoja de ruta!"
"Check the details and status of your orders in the online store. You can also cancel your order or request a return.","Consulta los detalles y el estado de tus pedidos en la tienda online. También puede cancelar su pedido o solicitar una devolución."
"You currently have no orders","Actualmente no tienes pedidos"
"Best get shopping pronto...","Lo mejor es ir de compras pronto ..."
"Start shopping","Empieza a comprar"
"Download","Descargar"
"Download all","Descargar Todo"
"VIEW","VISTA"
"Homepage","Página principal"
"Order date","Fecha de orden"
"Return to home","Vuelve a casa"
"Street Name","Nombre de la calle"
"House/Apartment number","Número de casa / apartamento"
"State/Province","Provincia del estado"
"Phone number","Número de teléfono"
"Delete discount code","Eliminar código de descuento"
"It's ordered!","¡Está ordenado!"
"Order No.","N º de Pedido."
"You've successfully placed the order","Has realizado el pedido correctamente"
"Allow order notifications","Permitir notificaciones de pedidos"
"Send my feedback","Envíe mis comentarios"
"Back to shop","Volver a la tienda"
"Confirmation of receival","Confirmación de recepción"
"Profile","Perfil"
"Cart","Carro"
"Product suggestions","Sugerencias de productos"
"Thumbnail","Miniatura"
"Subscribe to Newsletters","Suscríbete a los boletines"
"Be aware of upcoming sales and events. Receive gifts and special offers!","Esté al tanto de las próximas ventas y eventos. ¡Reciba regalos y ofertas especiales!"
"E-mail address","Dirección de correo electrónico"
"An error occured while loading the component.","Ocurrió un error al cargar el componente."
"Component couldn't be loaded due to lack of network connectivity.","No se pudo cargar el componente debido a la falta de conectividad de red."
"Try again","Intentar otra vez"
"Bestsellers","Superventas"
"Share Your Look","Comparte tu mirada"
"or fill the details below","o complete los detalles a continuación"
"Details","Detalles"
"Review","Revisar"
"Menu","Menu"
"Others","Otros"
"Sort By","Ordenar por"
"Selected variant is out of stock","La variante seleccionada está agotada"
"Products found","Productos encontrados"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Cambie sus criterios de búsqueda y vuelva a intentarlo. Si aún no encuentra nada relevante, visite la página de inicio y pruebe algunos de nuestros productos más vendidos!."
